loc_id,city_id,category_id,regis,removal,pet_count,sum_store_score,category_raw_score,norm_city,norm_all,category_city_score,category_all_score,city_score,all_score,final_score,final_score_10
KSH013,KSH,5,7534,604,6930,10.627084063418957,15.334897638411194,9.5,7.62,1.235,0.9906,3.1629000000000005,2.4537,2.95014,3.11
KSH014,KSH,1,26744,5352,21392,3.467386865994577,1.6208801729593196,1.24,0.51,0.33480000000000004,0.13770000000000002,1.0932,0.6559,0.9620099999999999,1.01
KSH014,KSH,2,26744,5352,21392,4.332730144878083,2.0253974125271514,0.5,0.5,0.045,0.045,1.0932,0.6559,0.9620099999999999,1.01
KSH014,KSH,3,26744,5352,21392,3.6240547280003796,1.6941168324609104,0.5,0.64,0.055,0.0704,1.0932,0.6559,0.9620099999999999,1.01
KSH014,KSH,4,26744,5352,21392,7.122138145065761,3.3293465524802546,1.85,0.9,0.2775,0.135,1.0932,0.6559,0.9620099999999999,1.01
KSH014,KSH,5,26744,5352,21392,13.117660061314817,6.132040043621362,2.93,2.06,0.3809,0.26780000000000004,1.0932,0.6559,0.9620099999999999,1.01
KSH015,KSH,2,4517,196,4321,5.06508767402656,11.722026554099886,3.49,2.35,0.3141,0.2115,0.9247000000000001,0.6817,0.8518,0.9
KSH015,KSH,4,4517,196,4321,0.44000000000000006,1.0182828049062718,0.5,0.5,0.075,0.075,0.9247000000000001,0.6817,0.8518,0.9
KSH015,KSH,5,4517,196,4321,3.3478026602621886,7.747749734464681,4.12,3.04,0.5356000000000001,0.3952,0.9247000000000001,0.6817,0.8518,0.9
KSH016,KSH,1,3131,212,2919,1.7899348724163726,6.132013951409293,8.64,7.55,2.3328,2.0385,4.7966,3.9137,4.53173,4.77
KSH016,KSH,2,3131,212,2919,4.482867369187443,15.35754494411594,4.96,3.26,0.44639999999999996,0.2934,4.7966,3.9137,4.53173,4.77
KSH016,KSH,3,3131,212,2919,0.6000000000000001,2.0554984583761566,0.94,1.18,0.10339999999999999,0.1298,4.7966,3.9137,4.53173,4.77
KSH016,KSH,4,3131,212,2919,2.9645038798897043,10.155888591605702,8.6,6.56,1.2899999999999998,0.9839999999999999,4.7966,3.9137,4.53173,4.77
KSH016,KSH,5,3131,212,2919,2.5318766275045768,8.673780841057132,4.8,3.6,0.624,0.468,4.7966,3.9137,4.53173,4.77
KSH017,KSH,1,12166,808,11358,5.916354173669584,5.208975324590231,7.13,6.11,1.9251,1.6497000000000002,4.3443,3.6558,4.13775,4.36
KSH017,KSH,2,12166,808,11358,5.437731628878293,4.787578472335176,0.7,0.62,0.063,0.055799999999999995,4.3443,3.6558,4.13775,4.36
KSH017,KSH,3,12166,808,11358,5.950730150426287,5.2392411960083525,5.68,5.93,0.6248,0.6523,4.3443,3.6558,4.13775,4.36
KSH017,KSH,4,12166,808,11358,9.710886976983037,8.549821251085612,7.01,5.23,1.0514999999999999,0.7845000000000001,4.3443,3.6558,4.13775,4.36
KSH017,KSH,5,12166,808,11358,10.517394067857454,9.25989968996078,5.23,3.95,0.6799000000000001,0.5135000000000001,4.3443,3.6558,4.13775,4.36
KSH018,KSH,1,5958,186,5772,0.5857142857142857,1.0147510147510148,0.5,0.5,0.135,0.135,0.588,0.4455,0.54525,0.57
KSH018,KSH,2,5958,186,5772,2.413755909352956,4.181836294790291,0.5,0.5,0.045,0.045,0.588,0.4455,0.54525,0.57
KSH018,KSH,3,5958,186,5772,0.5,0.8662508662508662,0.5,0.5,0.055,0.055,0.588,0.4455,0.54525,0.57
KSH018,KSH,4,5958,186,5772,1.9667189039558153,3.4073439084473582,1.92,0.97,0.288,0.1455,0.588,0.4455,0.54525,0.57
KSH018,KSH,5,5958,186,5772,0.6795833333333333,1.1773793023793022,0.5,0.5,0.065,0.065,0.588,0.4455,0.54525,0.57
KSH019,KSH,1,13561,872,12689,6.27506597335719,4.94528014292473,6.69,5.7,1.8063000000000002,1.5390000000000001,4.0966000000000005,3.2399,3.8395900000000003,4.04
KSH019,KSH,2,13561,872,12689,22.812305520285456,17.978016802179415,6.02,3.91,0.5418,0.3519,4.0966000000000005,3.2399,3.8395900000000003,4.04
